date,SOL,BNB,HYPE,XMR
2023-05-12,-0.0006586801000000001,-0.0012386829,,
2023-05-19,-0.0026559401000000003,-0.0035148677,,
2023-05-26,-0.002509031,0.0017774437,,
2023-06-02,0.00020212009999999995,0.0043719898,,
2023-06-09,-0.0080345281,0.0009470099000000002,,
2023-06-16,-0.0110045354,-0.0231627635,,
2023-06-23,-0.0004538537,-0.0044757015,,
2023-06-30,0.0021669089000000002,-8.440879999999996e-05,,
2023-07-07,0.0083959103,0.0015111995000000001,,
2023-07-14,0.0101896422,-0.012485692900000001,,
2023-07-21,0.0003410596,-0.0025527705,,
2023-07-28,0.0,0.0,,
2023-08-04,0.0,0.0,,
2023-08-11,0.0,0.0,,
2023-08-18,0.0,0.0,,
2023-08-25,0.0,0.0,,
2023-09-01,0.0,0.0,,
2023-09-08,0.0,0.0,,
2023-09-15,0.0,0.0,,
2023-09-22,0.0,0.0,,
2023-09-29,0.001784262,0.0019547697,,
2023-10-06,-0.0052623107999999995,0.0018795505,,
2023-10-13,-0.0044855767,0.0019482164000000001,,
2023-10-20,0.0,0.0,,
2023-10-27,0.0,0.0,,
2023-11-03,0.0,0.0,,
2023-11-10,0.0,0.0,,
2023-11-17,0.0,0.0,,
2023-11-24,0.0,0.0,,
2023-12-01,0.0,0.0,,
2023-12-08,0.0,0.0,,
2023-12-15,0.0,0.0,,
2023-12-22,0.0020804659,-0.0001125512,,
2023-12-29,0.019514458499999998,-0.0065868001999999995,,
2024-01-05,0.0175133145,-0.006607064,,
2024-01-12,0.0059918973,0.0003517011000000002,,
2024-01-19,0.0,0.0,,
2024-01-26,0.0,0.0,,
2024-02-02,0.0,0.0,,
2024-02-09,0.0,0.0,,
2024-02-16,0.0,0.0,,
2024-02-23,0.0,0.0,,
2024-03-01,0.0,0.0,,
2024-03-08,0.0,0.0,,
2024-03-15,0.0,0.0,,
2024-03-22,0.0008126133,0.0006000000000000001,,
2024-03-29,0.009749823599999999,0.0031864818,,
2024-04-05,0.0112943321,0.0006776684999999999,,
2024-04-12,0.0027376449,0.0025602289,,
2024-04-19,0.0,0.0,,
2024-04-26,0.0,0.0,,
2024-05-03,0.0,0.0,,
2024-05-10,0.0,0.0,,
2024-05-17,0.0,0.0,,
2024-05-24,0.0,0.0,,
2024-05-31,0.0,0.0,,
2024-06-07,0.0,0.0,,
2024-06-14,0.0,0.0,,
2024-06-21,0.00020752030000000004,0.00031419790000000004,,
2024-06-28,0.0014581165000000001,0.00038252630000000005,,
2024-07-05,0.0012594461000000003,0.00021774720000000008,,
2024-07-12,0.0010709114,0.0010025481,,
2024-07-19,0.0,0.0,,
2024-07-26,0.0,0.0,,
2024-08-02,0.0,0.0,,
2024-08-09,0.0,0.0,,
2024-08-16,0.0,0.0,,
2024-08-23,0.0,0.0,,
2024-08-30,0.0,0.0,,
2024-09-06,0.0,0.0,,
2024-09-13,0.0,0.0,,
2024-09-20,0.0019967641000000003,0.0004948300000000001,,
2024-09-27,0.0030618823000000002,0.0024057705000000004,,
2024-10-04,0.0037014908,-0.00021098649999999993,,
2024-10-11,0.0011787494,0.0008500000000000001,,
2024-10-18,0.0,0.0,,
2024-10-25,0.0,0.0,,
2024-11-01,0.0,0.0,,
2024-11-08,0.0,0.0,,
2024-11-15,0.0,0.0,,
2024-11-22,0.0,0.0,,
2024-11-29,0.0,0.0,,
2024-12-06,0.0,0.0,0.0065061828,
2024-12-13,0.0,0.0,0.0231737425,
2024-12-20,0.0021057135,0.0026154069,0.0284904547,
2024-12-27,0.0016556614,-0.0013826481,0.020378707,
2025-01-03,0.0026542941000000002,0.00022988530000000003,0.012735151699999999,
2025-01-10,0.0005477039000000001,0.0006257048,0.0015600602,
2025-01-17,0.0,0.0,0.0,
2025-01-24,0.0,0.0,0.0,
2025-01-31,0.0,0.0,0.0,
2025-02-07,0.0,0.0,0.0,
2025-02-14,0.0,0.0,0.0,
2025-02-21,0.0,0.0,0.0,
2025-02-28,0.0,0.0,0.0,
2025-03-07,0.0,0.0,0.0,
2025-03-14,0.0,0.0,0.0,
2025-03-21,-0.0005917992999999999,-0.0028538585,0.0018280851000000002,
2025-03-28,0.0015920068,-0.0045638274,0.0049539527,
2025-04-04,-0.001575857,-0.0027603989,0.0046978825,
2025-04-11,-0.000505489,0.00025,0.00036958710000000003,
2025-04-18,0.0,0.0,0.0,
2025-04-25,0.0,0.0,0.0,
2025-05-02,0.0,0.0,0.0,
2025-05-09,0.0,0.0,0.0,
2025-05-16,0.0,0.0,0.0,
2025-05-23,0.0,0.0,0.0,
2025-05-30,0.0,0.0,0.0,
2025-06-06,0.0,0.0,0.0,
2025-06-13,0.0,0.0,0.0,
2025-06-20,0.0004988398,0.00038153950000000003,0.004013792,
2025-06-27,0.0006977789,7.710790000000007e-05,0.0014705715000000001,
