date,CRCL
2025-06-02,107.69999694824219
2025-06-09,133.55999755859375
2025-06-16,240.27999877929688
2025-06-23,180.42999267578125
2025-06-30,188.77000427246094
2025-07-07,187.3300018310547
2025-07-14,223.77999877929688
2025-07-21,192.86000061035156
2025-07-28,168.10000610351562
2025-08-04,159.02999877929688
2025-08-11,149.25999450683594
2025-08-18,135.0399932861328
2025-08-25,131.97999572753906
2025-09-01,114.55999755859375
2025-09-08,125.31999969482422
2025-09-15,144.13999938964844
2025-09-22,126.98999786376953
2025-09-29,145.77999877929688
2025-10-06,132.94000244140625
2025-10-13,126.48999786376953
2025-10-20,142.0500030517578
2025-10-27,126.9800033569336
2025-11-03,103.13999938964844
2025-11-10,81.88999938964844
2025-11-17,71.33000183105469
2025-11-24,79.93000030517578
2025-12-01,85.62000274658203
2025-12-08,83.47000122070312
2025-12-15,86.12999725341797
2025-12-22,81.2699966430664
2025-12-29,83.47000122070312
