date,HOOD
2022-01-01,15.890000343322754
2022-01-08,15.170000076293945
2022-01-15,12.979999542236328
2022-01-22,12.729999542236328
2022-01-29,15.180000305175781
2022-02-05,13.319999694824219
2022-02-12,11.8100004196167
2022-02-19,11.609999656677246
2022-02-26,10.960000038146973
2022-03-05,11.020000457763672
2022-03-12,13.4399995803833
2022-03-19,12.390000343322754
2022-03-26,13.5
2022-04-02,11.239999771118164
2022-04-09,11.380000114440918
2022-04-16,10.260000228881836
2022-04-23,9.805000305175781
2022-04-30,10.119999885559082
2022-05-07,10.6899995803833
2022-05-14,10.079999923706055
2022-05-21,10.380000114440918
2022-05-28,9.170000076293945
2022-06-04,7.809999942779541
2022-06-11,7.190000057220459
2022-06-18,8.0
2022-06-25,8.180000305175781
2022-07-02,9.0
2022-07-09,8.40999984741211
2022-07-16,9.079999923706055
2022-07-23,9.050000190734863
2022-07-30,10.399999618530273
2022-08-06,10.930000305175781
2022-08-13,9.260000228881836
2022-08-20,9.380000114440918
2022-08-27,9.449999809265137
2022-09-03,10.600000381469727
2022-09-10,10.25
2022-09-17,9.4399995803833
2022-09-24,10.100000381469727
2022-10-01,10.800000190734863
2022-10-08,9.890000343322754
2022-10-15,10.140000343322754
2022-10-22,11.5
2022-10-29,12.279999732971191
2022-11-05,10.470000267028809
2022-11-12,9.1899995803833
2022-11-19,9.390000343322754
2022-11-26,9.989999771118164
2022-12-03,9.3100004196167
2022-12-10,8.609999656677246
2022-12-17,7.949999809265137
2022-12-24,8.140000343322754
2022-12-31,8.25
2023-01-07,9.319999694824219
2023-01-14,9.520000457763672
2023-01-21,10.390000343322754
2023-01-28,10.739999771118164
2023-02-04,9.979999542236328
2023-02-11,10.350000381469727
2023-02-18,9.59000015258789
2023-02-25,9.899999618530273
2023-03-04,9.010000228881836
2023-03-11,9.1899995803833
2023-03-18,8.680000305175781
2023-03-25,9.710000038146973
2023-04-01,10.010000228881836
2023-04-08,10.0
2023-04-15,9.640000343322754
2023-04-22,8.850000381469727
2023-04-29,8.850000381469727
2023-05-06,8.739999771118164
2023-05-13,8.470000267028809
2023-05-20,8.819999694824219
2023-05-27,9.34000015258789
2023-06-03,9.40999984741211
2023-06-10,10.029999732971191
2023-06-17,9.489999771118164
2023-06-24,9.979999542236328
2023-07-01,10.789999961853027
2023-07-08,12.380000114440918
2023-07-15,12.760000228881836
2023-07-22,12.729999542236328
2023-07-29,11.279999732971191
2023-08-05,10.720000267028809
2023-08-12,10.25
2023-08-19,10.539999961853027
2023-08-26,11.109999656677246
2023-09-02,10.739999771118164
2023-09-09,10.670000076293945
2023-09-16,9.699999809265137
2023-09-23,9.8100004196167
2023-09-30,9.930000305175781
2023-10-07,9.140000343322754
2023-10-14,9.130000114440918
2023-10-21,8.899999618530273
2023-10-28,9.6899995803833
2023-11-04,8.229999542236328
2023-11-11,8.100000381469727
2023-11-18,8.289999961853027
2023-11-25,9.319999694824219
2023-12-02,11.729999542236328
2023-12-09,11.6899995803833
2023-12-16,12.949999809265137
2023-12-23,12.739999771118164
2023-12-30,11.890000343322754
2024-01-06,11.020000457763672
2024-01-13,10.710000038146973
2024-01-20,10.789999961853027
2024-01-27,10.920000076293945
2024-02-03,11.550000190734863
2024-02-10,14.0
2024-02-17,14.479999542236328
2024-02-24,16.579999923706055
2024-03-02,17.0
2024-03-09,18.149999618530273
2024-03-16,18.299999237060547
2024-03-23,20.1299991607666
2024-03-30,18.399999618530273
2024-04-06,17.969999313354492
2024-04-13,16.6299991607666
2024-04-20,17.8799991607666
2024-04-27,17.950000762939453
2024-05-04,16.229999542236328
2024-05-11,20.09000015258789
2024-05-18,20.510000228881836
2024-05-25,20.899999618530273
2024-06-01,22.18000030517578
2024-06-08,22.420000076293945
2024-06-15,22.290000915527344
2024-06-22,22.709999084472656
2024-06-29,22.68000030517578
2024-07-06,22.280000686645508
2024-07-13,23.40999984741211
2024-07-20,21.200000762939453
2024-07-27,17.8799991607666
2024-08-03,17.920000076293945
2024-08-10,19.979999542236328
2024-08-17,21.1200008392334
2024-08-24,20.1200008392334
2024-08-31,18.940000534057617
2024-09-07,22.06999969482422
2024-09-14,22.729999542236328
2024-09-21,23.889999389648438
2024-09-28,22.889999389648438
2024-10-05,26.270000457763672
2024-10-12,26.829999923706055
2024-10-19,27.059999465942383
2024-10-26,23.969999313354492
2024-11-02,30.540000915527344
2024-11-09,32.31999969482422
2024-11-16,36.650001525878906
2024-11-23,37.540000915527344
2024-11-30,41.66999816894531
2024-12-07,40.20000076293945
2024-12-14,38.33000183105469
2024-12-21,39.02000045776367
2024-12-28,41.349998474121094
2025-01-04,40.08000183105469
2025-01-11,48.150001525878906
2025-01-18,51.119998931884766
2025-01-25,51.95000076293945
2025-02-01,55.86000061035156
2025-02-08,65.27999877929688
2025-02-15,51.599998474121094
2025-02-22,50.099998474121094
2025-03-01,44.41999816894531
2025-03-08,39.2400016784668
2025-03-15,44.36000061035156
2025-03-22,41.91999816894531
2025-03-29,34.5099983215332
2025-04-05,43.68000030517578
2025-04-12,41.18000030517578
2025-04-19,49.45000076293945
2025-04-26,48.59000015258789
2025-05-03,54.650001525878906
2025-05-10,61.7599983215332
2025-05-17,63.16999816894531
2025-05-24,66.1500015258789
2025-05-31,74.87999725341797
2025-06-07,72.5999984741211
2025-06-14,78.5
2025-06-21,83.02999877929688
2025-06-28,94.4000015258789
2025-07-05,98.33999633789062
2025-07-12,109.73999786376953
2025-07-19,104.8499984741211
2025-07-26,99.9000015258789
2025-08-02,114.62999725341797
2025-08-09,114.16999816894531
2025-08-16,109.31999969482422
2025-08-23,104.02999877929688
2025-08-30,101.25
2025-09-06,115.02999877929688
2025-09-13,124.77999877929688
2025-09-20,121.77999877929688
2025-09-27,148.6699981689453
2025-10-04,138.9600067138672
2025-10-11,129.91000366210938
2025-10-18,139.7899932861328
2025-10-25,146.77999877929688
2025-11-01,130.36000061035156
2025-11-08,122.5
2025-11-15,107.30000305175781
2025-11-22,128.49000549316406
2025-11-29,131.9499969482422
2025-12-06,119.5
2025-12-13,121.3499984741211
2025-12-20,118.12999725341797
2025-12-27,115.20999908447266
2026-01-03,123.23999786376953
