date,SOL,BNB,HYPE,XMR
2023-05-12,-0.0006586801,-0.0012386829,,
2023-05-19,-0.0026559401,-0.0035148677,,
2023-05-26,-0.002509031,0.0017774437,,
2023-06-02,0.0002021200999999,0.0043719898,,
2023-06-09,-0.0080345281,0.0009470099,,
2023-06-16,-0.0110045354,-0.0231627635,,
2023-06-23,-0.0004538537,-0.0044757015,,
2023-06-30,0.0021669089,-8.440879999999996e-05,,
2023-07-07,0.0083959103,0.0015111995,,
2023-07-14,0.0101896422,-0.0124856929,,
2023-07-21,0.0020319287,-0.0052296208,,
2023-07-28,0.0018463121,0.003763297,,
2023-08-04,0.001102984,0.0027915669,,
2023-08-11,-0.0005234331999999,-0.0015588077,,
2023-08-18,-0.0020798384,-0.0090630391,,
2023-08-25,-0.0068701146,-0.008430873,,
2023-09-01,-0.0038930802,0.0008887704,,
2023-09-08,-0.0040368247,-0.001232132,,
2023-09-15,-0.0054717833,-0.003377152,,
2023-09-22,-0.0034438765,-0.0001426777999999,,
2023-09-29,0.001784262,0.0019547697,,
2023-10-06,-0.0052623107999999,0.0018795505,,
2023-10-13,-0.0045792555,0.0019982164,,
2023-10-20,-9.736309999999992e-05,0.0019712907,,
2023-10-27,0.0035306059999999,0.0046326833,,
2023-11-03,0.0019206094,0.0039748381,,
2023-11-10,0.0117137725,0.0062726975,,
2023-11-17,0.012107988,0.0077254256,,
2023-11-24,0.0075309115,0.0069320562,,
2023-12-01,0.0080901505,0.0062010016,,
2023-12-08,0.0130109831,-0.000260288,,
2023-12-15,0.016986739,-0.0052148937,,
2023-12-22,0.0081143039,-0.0052608694,,
2023-12-29,0.0195144584999999,-0.0065868001999999,,
2024-01-05,0.0175133145,-0.006607064,,
2024-01-12,0.0078492661,0.0017185132,,
2024-01-19,0.0061319122,-0.0031483252,,
2024-01-26,0.0013991897,-0.0056943882,,
2024-02-02,0.0036155371,0.0023495741,,
2024-02-09,0.0063203164,-0.0021270264,,
2024-02-16,0.0078089205,-0.0030826847,,
2024-02-23,0.0085362081,-0.0035991782,,
2024-03-01,0.0215562119,0.0023446023,,
2024-03-08,0.0237688364,0.006235453,,
2024-03-15,0.0207200866,0.007145966,,
2024-03-22,0.0040287764,0.0022932189,,
2024-03-29,0.0097498235999999,0.0031864818,,
2024-04-05,0.0112943321,0.0006776684999999,,
2024-04-12,0.0051145508,0.0038644603,,
2024-04-19,0.0031766883,-0.0038938155,,
2024-04-26,0.0036265201,-0.0018655305,,
2024-05-03,0.0017836643,-0.0072572844,,
2024-05-10,0.0013519546,-0.0013459772,,
2024-05-17,0.0015998864,-0.0035032099,,
2024-05-24,0.0040011776,0.007957997,,
2024-05-31,0.0056250332,0.0020330293,,
2024-06-07,0.0057294556,0.0065219161,,
2024-06-14,0.0040576932,0.0017563667,,
2024-06-21,0.0013581028,0.0012462273,,
2024-06-28,0.0014581165,0.0003825263,,
2024-07-05,0.0012594461,0.0002177472,,
2024-07-12,0.0018808825,0.0019126354,,
2024-07-19,0.0035953887,0.0019394614,,
2024-07-26,0.0050827082,0.0019779208,,
2024-08-02,0.0032305946,0.0014209113,,
2024-08-09,-0.0002846698999999,0.0005099377,,
2024-08-16,0.0007772914,0.0010406191,,
2024-08-23,0.0002277899,0.0012006519,,
2024-08-30,0.0017854214,0.0017098007,,
2024-09-06,-0.0020247762,0.0016579675,,
2024-09-13,0.0020346804,0.001949382,,
