date,COIN,HOOD,CRCL
2025-11-28,0.0034409989,0.0024428478,
2025-12-05,-0.001468664,0.0035445129,
2025-12-12,0.0008646495,0.0019393685000000003,
2025-12-19,-0.0022075362999999996,-0.0036549202999999995,-0.0013147326
2025-12-26,0.0017744933000000001,0.0012913742999999997,-0.0020598732000000003
2026-01-02,5.492700000000016e-06,0.0027936699000000002,0.0071619153
2026-01-09,0.0007937741,0.0046431618,0.0073610973
2026-01-16,0.0008970225000000001,0.0018256703,0.0009414113000000001
2026-01-23,-0.0013349026000000002,-0.0027551617,-0.001980278
2026-01-30,-9.81146000000001e-05,-0.00016205019999999997,-0.0015096778
2026-02-06,-0.0005658568000000002,0.0013205515,-0.0035865706999999997
2026-02-13,0.0014359399,0.0030127535999999997,0.0023986836
2026-02-20,-0.0013442776,0.0017884546,0.00345205
2026-02-27,-0.00036162719999999996,0.0019976618,-7.9563999999998e-06
2026-03-06,0.0015920003000000002,0.0004636384000000001,0.0027243821
2026-03-13,-0.0014671251000000001,0.00030237569999999993,0.0025057225999999995
2026-03-20,0.0029123613999999997,0.0036550182,0.0035498316
2026-03-27,-0.0019489687,0.0007702159000000001,0.0020608658999999997
2026-04-03,0.0003489249000000001,0.001908451,0.0005534943000000001
2026-04-10,0.0017634946000000002,0.0026160754,0.0027785355
2026-04-17,-0.0015217077999999998,0.0002483341999999999,-0.0003114394999999999
2026-04-24,-0.0028588092,-0.0009869321,-0.0020263209999999998
2026-05-01,0.0012120267000000002,0.003087101,0.0016939439
2026-05-08,0.0013775582,0.0022954924,0.0024697918999999997
