date,COIN
2022-01-01,232.3300018310547
2022-01-08,230.02999877929688
2022-01-15,191.97000122070312
2022-01-22,177.5800018310547
2022-01-29,194.44000244140625
2022-02-05,194.52999877929688
2022-02-12,189.16000366210938
2022-02-19,176.8300018310547
2022-02-26,165.75
2022-03-05,160.07000732421875
2022-03-12,185.94000244140625
2022-03-19,186.7100067138672
2022-03-26,186.9600067138672
2022-04-02,160.94000244140625
2022-04-09,147.2899932861328
2022-04-16,131.52000427246094
2022-04-23,112.70999908447266
2022-04-30,103.73999786376953
2022-05-07,67.87000274658203
2022-05-14,66.1500015258789
2022-05-21,75.31999969482422
2022-05-28,66.69000244140625
2022-06-04,58.709999084472656
2022-06-11,51.220001220703125
2022-06-18,62.709999084472656
2022-06-25,49.040000915527344
2022-07-02,60.290000915527344
2022-07-09,53.790000915527344
2022-07-16,70.81999969482422
2022-07-23,62.959999084472656
2022-07-30,93.05000305175781
2022-08-06,90.48999786376953
2022-08-13,74.05999755859375
2022-08-20,66.73999786376953
2022-08-27,65.26000213623047
2022-09-03,80.87000274658203
2022-09-10,74.0
2022-09-17,61.880001068115234
2022-09-24,64.48999786376953
2022-10-01,67.0
2022-10-08,63.59000015258789
2022-10-15,66.37999725341797
2022-10-22,72.06999969482422
2022-10-29,58.81999969482422
2022-11-05,57.459999084472656
2022-11-12,45.2599983215332
2022-11-19,44.279998779296875
2022-11-26,47.66999816894531
2022-12-03,40.2400016784668
2022-12-10,36.599998474121094
2022-12-17,35.4900016784668
2022-12-24,35.38999938964844
2022-12-31,33.2599983215332
2023-01-07,49.97999954223633
2023-01-14,55.15999984741211
2023-01-21,61.369998931884766
2023-01-28,74.62999725341797
2023-02-04,57.09000015258789
2023-02-11,65.19999694824219
2023-02-18,58.439998626708984
2023-02-25,64.51000213623047
2023-03-04,53.439998626708984
2023-03-11,74.9800033569336
2023-03-18,67.83000183105469
2023-03-25,67.56999969482422
2023-04-01,61.439998626708984
2023-04-08,69.91000366210938
2023-04-15,59.040000915527344
2023-04-22,53.790000915527344
2023-04-29,58.2400016784668
2023-05-06,57.34000015258789
2023-05-13,56.779998779296875
2023-05-20,56.91999816894531
2023-05-27,64.55000305175781
2023-06-03,53.279998779296875
2023-06-10,55.59000015258789
2023-06-17,61.470001220703125
2023-06-24,71.55000305175781
2023-07-01,78.72000122070312
2023-07-08,105.30999755859375
2023-07-15,100.81999969482422
2023-07-22,94.76000213623047
2023-07-29,87.30999755859375
2023-08-05,81.01000213623047
2023-08-12,73.19000244140625
2023-08-19,74.26000213623047
2023-08-26,77.98999786376953
2023-09-02,82.08999633789062
2023-09-09,82.1500015258789
2023-09-16,70.95999908447266
2023-09-23,75.08000183105469
2023-09-30,78.45999908447266
2023-10-07,73.43000030517578
2023-10-14,74.66000366210938
2023-10-21,70.77999877929688
2023-10-28,85.80000305175781
2023-11-04,92.91999816894531
2023-11-11,99.05000305175781
2023-11-18,115.54000091552734
2023-11-25,133.75999450683594
2023-12-02,146.6199951171875
2023-12-09,147.89999389648438
2023-12-16,175.47999572753906
2023-12-23,173.9199981689453
2023-12-30,153.97999572753906
2024-01-06,130.77999877929688
2024-01-13,124.75
2024-01-20,125.19999694824219
2024-01-27,129.22000122070312
2024-02-03,141.99000549316406
2024-02-10,180.30999755859375
2024-02-17,165.97999572753906
2024-02-24,205.77000427246094
2024-03-02,256.6199951171875
2024-03-09,242.36000061035156
2024-03-16,255.50999450683594
2024-03-23,265.1199951171875
2024-03-30,240.89999389648438
2024-04-06,245.75
2024-04-13,211.00999450683594
2024-04-20,236.32000732421875
2024-04-27,223.25
2024-05-04,200.9199981689453
2024-05-11,207.60000610351562
2024-05-18,237.64999389648438
2024-05-25,225.9199981689453
2024-06-01,244.16000366210938
2024-06-08,244.5
2024-06-15,225.86000061035156
2024-06-22,222.22999572753906
2024-06-29,223.67999267578125
2024-07-06,218.02000427246094
2024-07-13,257.7900085449219
2024-07-20,242.92999267578125
2024-07-27,204.44000244140625
2024-08-03,196.2899932861328
2024-08-10,205.30999755859375
2024-08-17,211.39999389648438
2024-08-24,183.36000061035156
2024-08-31,147.35000610351562
2024-09-07,163.0500030517578
2024-09-14,170.08999633789062
