threshold,sharpe,max_dd,ann_return,final_equity,time_in_market
50,0.99,-6.3,20.2,1.44,3.8
55,0.77,-6.3,14.9,1.32,2.9
60,0.43,-6.3,6.8,1.14,1.9
65,0.43,-6.3,6.8,1.14,1.9
70,0.68,0.0,10.4,1.22,1.0
