date,btc_score,regime,action
2020-06-15,40.954558910712706,NEUTRAL,HOLD
2020-06-22,38.05592693005216,NEUTRAL,HOLD
2020-06-29,39.377184833567384,NEUTRAL,HOLD
2020-07-06,36.058083365757774,NEUTRAL,HOLD
2020-07-13,37.59905489004911,NEUTRAL,HOLD
2020-07-20,36.793687226497,NEUTRAL,HOLD
2020-07-27,36.53223511081289,NEUTRAL,HOLD
2020-08-03,47.76912733390431,NEUTRAL,HOLD
2020-08-10,50.56379115568309,NEUTRAL,HOLD
2020-08-17,51.75129509717989,NEUTRAL,HOLD
2020-08-24,53.066326589786016,NEUTRAL,HOLD
2020-08-31,49.82198600164937,NEUTRAL,HOLD
2020-09-07,48.443687825351475,NEUTRAL,HOLD
2020-09-14,41.95750380451787,NEUTRAL,HOLD
2020-09-21,41.83334505590051,NEUTRAL,HOLD
2020-09-28,37.93739806167952,NEUTRAL,HOLD
2020-10-05,37.92100560570964,NEUTRAL,HOLD
2020-10-12,39.681234938855326,NEUTRAL,HOLD
2020-10-19,42.2350865378125,NEUTRAL,HOLD
2020-10-26,41.50878511383725,NEUTRAL,HOLD
2020-11-02,46.884405976750216,NEUTRAL,HOLD
2020-11-09,48.10394103635172,NEUTRAL,HOLD
2020-11-16,61.01532578790256,BULL,DEPLOY_ALTS
2020-11-23,63.89746093161914,BULL,DEPLOY_ALTS
2020-11-30,69.14886842165991,BULL,DEPLOY_ALTS
2020-12-07,69.75403665816324,BULL,DEPLOY_ALTS
2020-12-14,69.18407706215818,BULL,DEPLOY_ALTS
2020-12-21,67.30532508399226,BULL,DEPLOY_ALTS
2020-12-28,68.75225867467772,BULL,DEPLOY_ALTS
2021-01-04,76.37799097414366,BULL,DEPLOY_ALTS
2021-01-11,82.75002585219087,BULL,DEPLOY_ALTS
2021-01-18,73.31412970832055,BULL,DEPLOY_ALTS
2021-01-25,73.14215937936257,BULL,DEPLOY_ALTS
2021-02-01,65.79355759868008,BULL,DEPLOY_ALTS
2021-02-08,64.35975612811971,BULL,DEPLOY_ALTS
2021-02-15,84.7242767898205,BULL,DEPLOY_ALTS
2021-02-22,81.42740374915827,BULL,DEPLOY_ALTS
2021-03-01,75.49215995218566,BULL,DEPLOY_ALTS
2021-03-08,63.76303573083937,BULL,DEPLOY_ALTS
2021-03-15,67.3425300363392,BULL,DEPLOY_ALTS
2021-03-22,66.85553931097557,BULL,DEPLOY_ALTS
2021-03-29,62.35398956680651,BULL,DEPLOY_ALTS
2021-04-05,64.85317963351012,BULL,DEPLOY_ALTS
2021-04-12,64.52215798395414,BULL,DEPLOY_ALTS
2021-04-19,62.32416346354503,BULL,DEPLOY_ALTS
2021-04-26,54.65876993296642,NEUTRAL,HOLD
2021-05-03,55.72040787275605,NEUTRAL,HOLD
2021-05-10,64.88532728920765,BULL,DEPLOY_ALTS
2021-05-17,65.89999684049991,BULL,DEPLOY_ALTS
2021-05-24,45.1367066900467,NEUTRAL,HOLD
2021-05-31,39.54091053962378,NEUTRAL,HOLD
2021-06-07,37.752207267838024,NEUTRAL,HOLD
2021-06-14,30.26895483336665,BEAR,EXIT
2021-06-21,31.141724639527695,BEAR,EXIT
2021-06-28,22.607761795456614,BEAR,EXIT
2021-07-05,21.995693342457752,BEAR,EXIT
2021-07-12,22.821161367696217,BEAR,EXIT
2021-07-19,21.787975247290227,BEAR,EXIT
2021-07-26,22.24069535781053,BEAR,EXIT
2021-08-02,27.629714173161517,BEAR,EXIT
2021-08-09,28.071137201397317,BEAR,EXIT
2021-08-16,34.78802537736198,BEAR,EXIT
2021-08-23,35.45930530747818,NEUTRAL,HOLD
2021-08-30,39.81116130076822,NEUTRAL,HOLD
