period,Option A,Option B,Option D,BTC B&H
2020 COVID + recovery,1.5818303824565971,2.9890086237495557,0.0,4.300774831205443
2021 bull cycle peak,0.22898360797388415,0.47467118333828273,0.45846007744186684,0.7196016837118561
2022 bear (Luna/FTX),-1.0258825084703331,0.0,0.0,-1.0258825084703334
2023 recovery,4.409589558112126,0.3005407575962254,0.02927881621112535,3.515483359255369
2024 ETF + halving rally,1.1768714389465822,1.292009414731895,0.5895493426307741,2.110771310659417
2025 Trump rally peak,-0.0692825507291509,0.2300359083291247,0.44754247954091164,-0.173535591924447
2026 YTD drawdown,-0.4390809978614119,0.0,0.0,-0.4390809978614173
