period,Option A,Option B,Option D,BTC B&H
2020 COVID + recovery,-0.12566951780486327,-0.10232261451411696,0.0,-0.5127745899878445
2021 bull cycle peak,-0.3229591680583147,-0.4687611852210563,-0.22020623261114092,-0.528570764469335
2022 bear (Luna/FTX),-0.6707708975525575,0.0,0.0,-0.6707708975525575
2023 recovery,-0.18523818417251384,-0.043836973705735874,-0.043124305477069524,-0.20074759457795296
2024 ETF + halving rally,-0.040810923031335926,-0.20247120471082505,-0.1610017585625623,-0.2623118556980687
2025 Trump rally peak,-0.0872586561581085,-0.12388725811836773,-0.1238872581183678,-0.321309262741309
2026 YTD drawdown,-0.352075783268425,0.0,0.0,-0.35207578326842487
