period,Option A,Option B,Option D,BTC B&H
2020 COVID + recovery,0.3760733654582469,0.7363717325967141,0.0,3.0343909036217047
2021 bull cycle peak,0.08139275042238214,0.27122814341524926,0.12083602768050716,0.5780679681704708
2022 bear (Luna/FTX),-0.6540767367680174,0.0,0.0,-0.6540767367680177
2023 recovery,1.5888022000987982,0.024446988211901166,0.0020497152912311023,1.5402190728908622
2024 ETF + halving rally,0.08644657264839406,0.48659568723143787,0.1722684967962027,1.11706250299367
2025 Trump rally peak,-0.008037879234414458,0.03640956228891601,0.0741533345860681,-0.07272400851988792
2026 YTD drawdown,-0.0884692457126085,0.0,0.0,-0.08846924571260961
