date,input_price,input_mvrv_ratio,input_miner_revenue,input_etf_flows,input_btc_mc,input_eth_mc,input_stablecoin_supply,input_fed_balance_sheet,raw_mvrv_z,raw_puell,raw_price_200w_ratio,raw_stable_30d,raw_dom_proxy_30d_roc,raw_fed_bs_30d_roc,norm_mvrv_z,norm_puell,norm_price_200w_ratio,norm_stable_30d,norm_dom_proxy_30d_roc,btc_score,btc_score_lagged,regime,action
2018-01-17,11569.424992086,2.07376393,31961655.148078326,,194496634731.302,100567876886.708,109970.0,4439145.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-18,11758.469332765,2.09352287,33151799.45628633,,197698672432.581,101640355096.624,109970.0,4439145.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-19,13260.271187279,2.129939,33866599.93388235,,222978421656.463,113899479853.586,109970.0,4439145.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-20,11703.50486286,2.37080852,31065820.729932338,,196828374433.092,102337202453.458,109970.0,4439145.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-21,10991.59501308,2.12617327,29466957.04329343,,184878210439.398,97186332455.0951,109970.0,4439145.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-22,10894.00090534,2.00268788,26168616.179714907,,183260375707.762,96359326865.8716,30109970.0,4439145.0,,,,272.80167318359554,,,,,,,,,,NA,NA
2018-01-23,11277.115970449,2.02766184,28175400.671711497,,189730563330.713,102717867498.029,30109970.0,4439145.0,,,,272.80167318359554,,,,,,,,,,NA,NA
2018-01-24,11225.254456885,2.09753554,27877898.104128506,,188880475665.027,102976145173.289,30109970.02,4441317.0,,,,272.80167336546333,,,,,,,,,,NA,NA
2018-01-25,11044.907236574,2.08000559,24253008.886846583,,185867144988.132,101975238868.218,30109970.02,4441317.0,,,,272.80167336546333,,,,,,,,,,NA,NA
2018-01-26,11456.21350628,2.05791562,24592276.9854967,,192805209257.314,106559849459.02,30109970.019999996,4441317.0,,,,272.8016733654633,,,,,,,,,,NA,NA
2018-01-27,11665.696930085,2.10883443,24856738.488126986,,196359635508.995,120356395893.42,30109970.020000003,4441317.0,,,,272.80167336546333,,,,,,,,,,NA,NA
2018-01-28,11157.663887898,2.15410037,23769671.865436286,,187828526722.435,113796120454.081,60109970.01,4441317.0,,,,545.603346458125,,,,,,,,,,NA,NA
2018-01-29,11095.210689127,2.06552658,22143279.26175897,,186776632503.018,113043826616.747,60109970.02,4441317.0,,,,545.6033465490589,,,,,,,,,,NA,NA
2018-01-30,9989.689776597,1.85916763,22454833.709115688,,168188285150.77,102965815556.067,60109970.029999994,4441317.0,,,,545.6033466399927,,,,,,,,,,NA,NA
2018-01-31,10114.495086226,1.87794381,16433083.243212508,,170304196700.157,107663538775.879,60109970.02,4419225.0,,,,545.6033465490589,-0.18517423265815958,,,,,,,,,NA,NA
2018-02-01,9070.555449374,1.69691999,20082459.61263815,,152744180864.164,99423764457.4488,60109970.02,4419225.0,,,,545.6033465490589,-0.17844671190181738,,,,,,,,,NA,NA
2018-02-02,8830.163510055,1.66151934,20966009.835013263,,148715185541.376,89061856063.4808,60109970.03,4419225.0,,,,545.6033466399928,-0.1537029280665475,-0.005511825907944634,,,,,,,,NA,NA
2018-02-03,8994.914866077,1.72878243,19086559.637447767,,151507305722.97,91725607014.4353,60109970.03,4419225.0,,,,545.6033466399928,-0.18025141029452074,-0.005511825907944634,,,,,,,,NA,NA
2018-02-04,8315.517491436,1.56184746,19427682.368750878,,140081544557.235,81329819333.7154,60109970.03,4419225.0,,,,545.6033466399928,-0.15805385832232155,-0.005511825907944634,,,,,,,,NA,NA
2018-02-05,6852.052700515,1.30831891,17036035.95059656,,115444836533.448,66675677460.4115,60109970.02,4419225.0,,,,545.6033465490589,-0.12199392340562809,-0.005511825907944634,,,,,,,,NA,NA
2018-02-06,7711.220328941,1.48101152,17653065.25224144,,129936854004.417,76574516020.883,60109970.02,4419225.0,,,,545.6033465490589,-0.10031726040946565,-0.005511825907944634,,,,,,,,NA,NA
2018-02-07,7611.610277789,1.46484643,14355657.52023017,,128271617562.325,73290929917.8697,60109970.04,4420745.0,,,,545.6033467309267,-0.043301036038320695,-0.005169769998906282,,,,,,,,NA,NA
2018-02-08,8208.572084497,1.58085047,14163768.040074771,,138345016554.785,78759712266.8062,60109970.01,4420745.0,,,,545.603346458125,-0.043791006761115026,-0.005169769998906282,,,,,,,,NA,NA
2018-02-09,8650.71675043,1.6660923,15362498.624605188,,145812043727.555,84968804616.7845,60109970.010000005,4420745.0,,,,545.603346458125,-0.06157920117593563,-0.005694252576774694,,,,,,,,NA,NA
2018-02-10,8574.67763849,1.64139497,16088630.406242589,,144544944416.748,83330877020.2487,60109970.01,4420745.0,,,,545.603346458125,-0.03940692397549783,-0.005694252576774694,,,,,,,,NA,NA
2018-02-11,8168.6377798,1.55971533,15924470.046996778,,137716289625.309,79732678121.4166,60109969.99999999,4420745.0,,,,545.603346367191,-0.018285303900104966,-0.005694252576774694,,,,,,,,NA,NA
2018-02-12,8911.398574208,1.71364615,19114680.023790084,,150256428069.512,84185155652.7707,60109970.01,4420745.0,,,,545.603346458125,0.0012083111728031781,-0.005694252576774694,,,,,,,,NA,NA
2018-02-13,8518.269076191,1.64241903,18046577.0259938,,143645913955.803,81375375877.9689,60109970.0,4420745.0,,,,545.6033463671911,-0.021670659700421147,-0.005694252576774694,,,,,,,,NA,NA
2018-02-14,9428.025607162,1.81957973,21696323.776881687,,159007423075.024,89328231140.6048,60109970.0,4434863.0,,,,545.6033463671911,-0.02280781252428621,-0.00251885826153575,,,,,,,,NA,NA
2018-02-15,10112.580143447,1.93482187,17207364.676577307,,170569769073.988,90637629785.6649,60109969.98,4434863.0,,,,545.6033461853233,-0.00934714557262517,-0.00251885826153575,,,,,,,,NA,NA
2018-02-16,10155.277055526,1.9474862,20521348.56227054,,171309236631.063,91279135809.1941,60109969.99,4434863.0,,,,545.6033462762572,-0.010284946963739716,-0.0009646001651218983,,,,,,,,NA,NA
2018-02-17,11006.647685962,2.11360732,21035230.9429456,,185692327611.288,94190008583.4062,60109969.989999995,4434863.0,,,,545.6033462762571,0.004565039969442575,-0.0009646001651218983,,,,,,,,NA,NA
2018-02-18,10523.429305801,1.99108492,21779113.34807174,,177561296505.315,89404389580.2483,60109969.98,4434863.0,,,,545.6033461853233,0.004853037882561528,-0.0009646001651218983,,,,,,,,NA,NA
2018-02-19,11103.09003615,2.11485368,23048994.673199832,,187364222442.605,90713108252.7155,60109969.98,4434863.0,,,,545.6033461853233,0.024106196594724016,-0.0009646001651218983,,,,,,,,NA,NA
2018-02-20,11502.37704964,2.12780635,20873717.05114332,,194121879194.226,88256609941.3564,60109969.970000006,4434863.0,,,,545.6033460943894,0.04883131178701028,-0.0009646001651218983,,,,,,,,NA,NA
2018-02-21,9973.592119519,1.97827013,21474964.688200776,,168362084194.477,79118626282.2587,60109969.98,4411660.0,,,,0.996347720705135,0.038011430704736116,-0.006191507598873214,,,,,,,,NA,NA
2018-02-22,10032.863112314,1.84607258,19063465.559448205,,169362253983.195,79442544254.3093,60109969.98,4411660.0,,,,0.996347720705135,0.04922800209095235,-0.006191507598873214,,,,,,,,NA,NA
2018-02-23,10301.883609336,1.89577059,19820289.457796328,,173922837770.066,84567348658.2748,60109969.96999999,4411660.0,,,,0.9963477190469814,0.039668857389139944,-0.006677523806564611,,,,,,,,NA,NA
2018-02-24,9742.628190065,1.8093287,18594854.880260814,,164497574061.059,81068136131.6096,60109969.98,4411660.0,,,,0.9963477193790975,0.03739437479001184,-0.006677523806564611,,,,,,,,NA,NA
2018-02-25,9699.517181515,1.7940982,21134671.816590153,,163790896885.658,82445384433.1456,60109969.99000001,4411660.0,,,,0.996347719711214,0.03280911623096361,-0.006677523806564611,,,,,,,,NA,NA
2018-02-26,10355.578126486,1.92409125,18730034.24044054,,174886939893.198,84519903484.5132,60109969.98,4411660.0,,,,0.9963477193790973,0.08741114375817238,-0.006677523806564611,,,,,,,,NA,NA
2018-02-27,10709.388431046,1.98459986,21960091.32595058,,180884108725.43,85086932065.0865,60109969.98,4411660.0,,,,-4.990853286201968e-10,0.09212245438269484,-0.006677523806564611,,,,,,,,NA,NA
2018-02-28,10346.664931035,1.91774992,20577437.782512255,,174778709347.899,82862945950.985,60109969.97,4393401.0,,,,-8.318088440262272e-10,0.08895810356857581,-0.010788691732654954,,,,,,,,NA,NA
2018-03-01,10859.552194389,2.0275908,22963128.491849374,,183463718171.257,83792455743.3518,60109969.97,4393401.0,,,,-9.981704351957887e-10,0.1067330476783106,-0.010788691732654954,,,,,,,,NA,NA
2018-03-02,11098.075809251,2.0411051,22107519.83053424,,187514886761.388,83297136123.6615,60109969.98,4393401.0,,,,-6.654471418343633e-10,0.13015197833132497,-0.005843558542504623,,,,,,,,NA,NA
